name,synonyms
Epithelioid sarcoma,"['ES', 'Epithelioid Cell Sarcoma', 'epithelioid sarcoma']"
Esophageal cancer,"['Aerodigestive tract cancer susceptibility to', 'Ca Lower Third Oesophagus', 'Ca Middle Third Oesophagus', 'Ca lower third esophagus', 'Ca middle third esophagus', 'Escc susceptibility to', 'Esophagus Cancer', 'Malignant Neoplasm Of Distal Third Of Esophagus', 'Malignant Neoplasm Of Lower Third Of Oesophagus', 'Malignant Neoplasm Of Middle Third Of Oesophagus', 'Malignant Neoplasm Of Proximal Third Of Esophagus', 'Malignant Neoplasm Of Upper Third Esophagus', 'Malignant Tumor Of Abdominal Esophagus', 'Malignant Tumor Of Distal Third Of Esophagus', 'Malignant Tumor Of Proximal Third Of Esophagus', 'Malignant Tumor Of The Middle Third Of The Esophagus', 'cancer of esophagus', 'cancer of oesophagus', 'esophageal cancer', 'esophageal cancer somatic', 'esophageal carcinoma somatic', 'esophageal squamous cell carcinoma somatic', 'esophageal squamous cell carcinoma susceptibility to', 'gastric cardia adenocarcinoma susceptibility to', 'malignant esophageal neoplasm', 'malignant esophageal tumor', 'malignant esophageal tumour', 'malignant esophagus neoplasm', 'malignant esophagus tumor', 'malignant neoplasm of distal third of oesophagus', 'malignant neoplasm of esophagus', 'malignant neoplasm of lower third of esophagus', 'malignant neoplasm of middle third of esophagus', 'malignant neoplasm of oesophagus', 'malignant neoplasm of proximal third of oesophagus', 'malignant neoplasm of the esophagus', 'malignant neoplasm of the oesophagus', 'malignant neoplasm of upper third oesophagus', 'malignant oesophagus neoplasm', 'malignant oesophagus tumour', 'malignant tumor of esophagus', 'malignant tumor of the esophagus', 'malignant tumour of abdominal oesophagus', 'malignant tumour of distal third of oesophagus', 'malignant tumour of oesophagus', 'malignant tumour of proximal third of oesophagus', 'malignant tumour of the middle third of the oesophagus', 'malignant tumour of the oesophagus', 'oesophagus cancer']"
Ewing sarcoma,"['ES', 'Ewing sarcoma', 'Ewing tumor', 'Ewing tumour', ""Ewing's Family Localized Tumor"", ""Ewing's Sarcoma/peripheral Primitive Neuroectodermal Tumor"", ""Ewing's Tumor"", ""Ewing's family localised tumour"", ""Ewing's sarcoma"", ""Ewing's sarcoma/peripheral primitive neuroectodermal tumour"", ""Ewing's tumour"", 'Ewings Sarcoma', 'Ewings Sarcoma primitive Neuroectodermal Tumor', 'Ewings sarcoma primitive neuroectodermal tumour', 'Localized Ewing Sarcoma', ""Localized Ewing's Sarcoma"", ""Localized Ewing's Sarcoma/peripheral Primitive Neuroectodermal Tumor"", ""Localized Ewing's Tumor"", 'Localized Peripheral Primitive Neuroectodermal Tumor', 'PNET Of Thoracopulmonary Region', 'Peripheral Primitive Neuroectodermal Tumor', 'localised Ewing sarcoma', ""localised Ewing's sarcoma"", ""localised Ewing's sarcoma/peripheral primitive neuroectodermal tumour"", ""localised Ewing's tumour"", 'localised peripheral primitive neuroectodermal tumour', 'neuroepithelioma', 'neuroepithelioma peripheral', 'peripheral primitive neuroectodermal tumour', ""sarcoma Ewing's""]"
Extraskeletal myxoid chondrosarcoma,['Myxoid Extraosseous Chondrosarcoma']
Gallbladder cancer,"['Gall bladder carcinoma', 'cancer of gallbladder', 'cancer of the gallbladder', 'carcinoma gallbladder', 'carcinoma of gall bladder', 'carcinoma of gallbladder', 'carcinoma of the gallbladder', 'gallbladder cancer', 'gallbladder carcinoma']"
Ganglioglioma,"['Adult Ganglioglioma', 'CNS Ganglioglioma', 'Childhood Ganglioglioma', 'ganglioglioma', 'mixed cell tumors containing both neural ganglionic cells and neural glial cell components', 'mixed cell tumours containing both neural ganglionic cells and neural glial cell components']"
Ganglioneuroblastoma,"['ganglioneuroblastoma', 'ganglioneuroblastoma malignant']"
Gastric cancer,"['Gastric tumor', 'Adenocarcinoma Of Stomach', 'STAD', 'Stomach Adenocarcinoma', 'adenocarcinoma of the stomach', 'adenocarcinoma stomach', 'gastric adenocarcinoma']"
Gastrointestinal cancer,"['carcinoma of digestive system', 'carcinoma of the gastrointestinal system', 'digestive system carcinoma', 'gastrointestinal carcinoma', 'gastrointestinal system carcinoma']"
Glioblastoma,"['Adult Glioblastoma Multiforme', 'GBM', 'Glioblastoma Multiforme', 'Grade IV Adult Astrocytic Tumor', 'Primary Glioblastoma Multiforme', 'Spongioblastoma Multiforme', 'WHO grade IV glioma', 'giant cell glioblastoma', 'glioblastoma', 'gliosarcoma', 'grade IV adult astrocytic tumour', 'grade IV astrocytic neoplasm', 'grade IV astrocytic tumor', 'grade IV astrocytic tumour', 'grade IV astrocytoma']"
